seller_id,pedidos,media_dias_atraso,percentual_atraso
238fac594e170b59c6d228f5a4f4f1d9,29,1.10,10.34
1835b56ce799e6a4dc4eddc053f04066,423,0.81,10.31
b14db04aa7881970e83ffa9426897925,83,0.78,10.26
dd533b429f380718b70ad9922c294bae,41,1.40,10.26
3f3486b61f45078d4f31ee5e43d8c5bb,40,0.59,10.26
f84a00e60c73a49e7e851c9bdca3a5bb,90,1.25,10.23
fd386aa7bed2af3c7035c65506c9b4a3,69,0.82,10.14
f84fa566034f5e8e880a07ec624c56af,91,0.66,10.11
e9d99831abad74458942f21e16f33f92,130,1.10,10.00
527801b552d0077ffd170872eb49683b,90,0.67,10.00
5343d0649eca2a983820bfe93fc4d17e,71,0.50,10.00
23d7c96d4a1160db1c726b248601b25a,53,0.38,10.00
e8b4225284fbb02d16f200513f1f395d,31,0.57,10.00
e38db885400cd35c71dfd162f2c1dbcf,30,0.19,10.00
b2ac621f0d0322434d04a12b078b9369,30,0.53,10.00
d3674f271c91f824f82d24d92011f669,20,0.55,10.00
318f287a62ab7ac10b703ac37435a231,52,0.56,9.80
cfb1a033743668a192316f3c6d1d2671,147,0.51,9.79
6f892e20a171e98efe17fdb971ff319b,44,0.76,9.76
82e0a475a88cc9595229d8029273f045,42,2.99,9.76
4a3ca9315b744ce9f8e9374361493884,1806,1.07,9.71
8648b1e89e9b349e32d3741b30ec737e,95,0.55,9.68
20cb7c2fde3e5bf10f0bbe7394e1c6a9,32,0.40,9.68
5c6d4016c2a288f074fa0848a2b653d2,32,0.35,9.68
aac29b1b99776be73c3049939652091d,98,2.43,9.57
729f06993dac8e860d4f02d7088ca48a,96,0.93,9.57
2d50d6282f8aa2257819a77bfaa0efe0,44,0.91,9.52
bc47d5d1490df2b36add65d733eafaba,24,0.50,9.52
f4db9b37944bcb8873e6b456ee190bbf,21,0.27,9.52
411f3b52d857390502ee4e4d5ceabc2d,21,1.13,9.52
1c40343cc5d18c2d8248ac2f3366de34,21,0.09,9.52
634964b17796e64304cadf1ad3050fb7,268,1.06,9.43
a888faf2d1baececa6baf9c3d603ee1f,54,0.81,9.43
76d5af76d0271110f9af36c92573f765,131,0.40,9.38
7b0df942f46435babab05d49b744b2c4,32,0.34,9.38
2745f798279e0ed033addcc1474776d7,32,0.91,9.38
f62d7bb4a613ec758a03342d46b580b2,32,0.50,9.38
4c2b230173bb36f9b240f2b8ac11786e,261,0.73,9.30
7d76b645482be4a332374e8223836592,176,0.84,9.30
a3e9a2c700480d9bb01fba070ba80a0e,130,0.57,9.30
77530e9772f57a62c906e1c21538ab82,320,0.97,9.29
70a12e78e608ac31179aea7f8422044b,315,0.77,9.29
ececbfcff9804a2d6b40f589df8eef2b,98,0.79,9.28
fa1c13f2614d7b5c4749cbc52fecda94,585,1.00,9.17
7c67e1448b00f6e969d365cea6b010ab,982,0.97,9.15
d13e50eaa47b4cbe9eb81465865d8cfc,67,0.18,9.09
3df020b72d3d44b3af9d110fa3940b65,55,0.39,9.09
432c37c9dfba871172ec162e20118b8c,46,0.60,9.09
93dc87703c046b603023e75222018b45,35,4.18,9.09
d5ba419e26d246a0719437cf37d9b46d,34,1.15,9.09
1caf283236cd69af44cbc09a0a1e7d32,33,2.32,9.09
f615fe7efbef0f4f08fd3086bc7a3e60,23,0.52,9.09
39d54ff918774174706fb065d7f9dc07,23,0.25,9.09
13d058e4eeac2ce8217660b2f8a05812,23,0.82,9.09
fb89df7f89fd1b8f03fa2acca1ba7364,22,0.60,9.09
7901646fdd36a55f564ffaf2dbccaaf7,22,0.33,9.09
7f2617c58d5d06806987308b45654351,22,0.30,9.09
4e922959ae960d389249c378d1c939f5,420,0.63,8.98
ce7d1888639e6fb06b2749cbfdac1ff7,78,1.29,8.97
17f51e7198701186712e53a39c564617,56,0.62,8.93
db2956745b3a8e9f3785c99f34b5d25e,47,0.59,8.89
fe2032dab1a61af8794248c8196565c9,294,1.15,8.87
1f50f920176fa81dab994f9023523100,1404,0.82,8.86
26d8a1c7c75d513045798992ead43aa2,36,1.08,8.82
6a0cbc8af2e8abd1bdfb777943d174c6,35,1.47,8.82
1d8dbc4f32378d715c717c1c1fc57bae,92,1.47,8.79
522620dcb18a6b31cd7bdf73665113a9,174,0.72,8.72
8b321bb669392f5163d04c59e235e066,943,0.81,8.71
620c87c171fb2a6dd6e8bb4dec959fc6,740,0.89,8.70
e59aa562b9f8076dd550fcddf0e73491,70,0.68,8.70
23613d49c3ac2bd302259e55c06c050c,70,0.80,8.70
a36b125ac6d5fdbc7f50de85c9157bdc,24,0.28,8.70
8cc6a0e5738e61a87b03c78b2ba9db4b,24,4.42,8.70
977f9f63dd360c2a32ece2f93ad6d306,24,0.58,8.70
157c3e4b42f81ac4a44e8b1ca2fe9876,23,0.87,8.70
244c2f1bff6afe1f2eaf9bfe9b2aed38,23,2.11,8.70
e7df4cd29ab5abab70fb0783ddb53987,23,0.63,8.70
391fc6631aebcf3004804e51b40bcf1e,526,0.72,8.64
218d46b86c1881d022bce9c68a7d4b15,388,1.05,8.64
7681ef142fd2c19048da7430856b5588,59,1.03,8.62
9c0e69c7bf2619675bbadf47b43f655a,157,2.58,8.61
5d0363b33554b373851fc1622e4d5f3c,94,0.93,8.60
f27e33c6d29b5138fa9967bcd445b6d5,93,0.59,8.60
e8f6dc8e6a1dcde89d20e3995c8d90b3,36,0.52,8.57
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,36,1.36,8.57
ea8482cd71df3c1969d7b9473ff13abc,1146,0.68,8.48
56642bcb79900e777d68e91915cb4267,48,2.46,8.33
f181738b150df1f37cb0bd72e705b193,36,0.95,8.33
6a51fc556dab5f766ced6fbc860bc613,26,0.61,8.33
0afccdb8a34ee5c79f7c06faf2b4d56e,25,0.71,8.33
7ddcbb64b5bc1ef36ca8c151f6ec77df,334,0.98,8.31
8581055ce74af1daba164fdbd55a40de,387,0.88,8.18
1900267e848ceeba8fa32d80c1a5f5a8,411,0.63,8.13
cbd996ad3c1b7dc71fd0e5f5df9087e2,165,1.14,8.13
1336efc61c316ddf92c899eb817f7cae,74,0.72,8.11
6860153b69cc696d5dcfe1cdaaafcf62,74,0.90,8.11
715bbd5ba4e6b74cb0d2f29eb45058b0,62,0.70,8.06
16090f2ca825584b5a147ab24aa30c86,402,0.78,8.04
6a8b085f816a1f75f92dbac6eb545f8f,127,1.88,8.00
165fc07beebdcb6190fba8a06db2a449,50,1.09,8.00
198c7ea11960a9844b544d9bcdca860c,25,0.76,8.00
edf96ef93ed595084bbcbd9224bd2894,25,0.29,8.00
37515688008a7a40ac93e3b2e4ab203f,228,0.85,7.93
1025f0e2d44d7041d6cf58b6550e0bfa,915,0.47,7.91
ef506c96320abeedfb894c34db06f478,324,0.95,7.91
daeb5653dd96c1b11860f72209795012,40,1.10,7.89
c9c7905cffc4ef9ff9f113554423e671,127,0.76,7.87
e24fc9fcd865784fb25705606fe3dfe7,52,1.11,7.84
ef0ace09169ac090589d85746e3e036f,129,1.09,7.81
ce248b21cb2adc36282ede306b7660e5,65,1.02,7.81
42b729f859728f5079499127a9c2ef37,104,0.78,7.77
17e34d8224d27a541263c4c64b11a56b,255,0.87,7.69
7040e82f899a04d1b434b795a43b4617,212,0.56,7.69
f214d28e8d8e3ef068748498ccc2f813,54,0.54,7.69
624f4ece8da4aafb77699233d480f8ef,53,0.54,7.69
4559697a8f7e637227c2eeaed843baff,42,0.23,7.69
e5e33c0d8e7e002f398f5dc4cbbb338f,28,1.04,7.69
df560393f3a51e74553ab94004ba5c87,28,1.52,7.69
8d79c8a04e42d722a75097ce5cbcf2ef,27,4.07,7.69
6a8a889bde935bafa76d7848782dfaf9,26,0.87,7.69
b8555308bfdb4ca1ed54325a58da9a97,26,0.32,7.69
8090490573c6c0aa343a7231ebcb8c86,26,1.54,7.69
f61c63d13f7cd800549d5acdd390ae72,26,0.38,7.69
e9bc59e7b60fc3063eb2290deda4cced,216,0.77,7.66
04308b1ee57b6625f47df1d56f00eedf,94,0.98,7.61
d673a59aac7a70d8b01e6902bf090a11,79,0.95,7.59
54a1852d1b8f10312c55e906355666ee,200,1.00,7.58
c826c40d7b19f62a09e2d7c5e7295ee2,354,0.62,7.51
e5a38146df062edaf55c38afa99e42dc,121,1.10,7.50
3be634553519fb6536a03e1358e9fdc7,83,0.29,7.50
c9aafcd0621b2207c10e32c649cada4d,44,0.13,7.50
1ce3ae5a399804d1a87e706f8a813c3e,40,0.45,7.50
48436dade18ac8b2bce089ec2a041202,138,1.24,7.46
a420f60ff1aa9acc80d0e42959f2b313,67,1.07,7.46
de23c3b98a88888289c6f5cc1209054a,164,0.59,7.45
f262cbc1c910c83959f849465454ddd3,192,0.48,7.41
00ee68308b45bc5e2660cd833c3f81cc,135,0.72,7.41
e067ad2c1c0b48758eb1b5228bcf7a68,54,0.62,7.41
17306570e772e7718c92a562d33f5f1d,29,0.37,7.41
271c58a1d139c45eaf3316107c6d3a3b,29,0.41,7.41
66922902710d126a0e7d26b0e3805106,151,0.41,7.33
c847e075301870dd144a116762eaff9a,42,4.38,7.32
7142540dd4c91e2237acb7e911c4eba2,319,0.74,7.28
edb1ef5e36e0c8cd84eb3c9b003e486d,166,0.95,7.27
f7ccf836d21b2fb1de37564105216cc1,70,0.96,7.25
aba1721a889e04decc910aa13b768ef4,83,0.30,7.23
c8b0e2b0a7095e5d8219575d5e7e1181,84,0.41,7.14
7a241947449cc45dbfda4f9d0798d9d0,62,0.32,7.14
8a130737016f838139d31878787a39c9,56,0.21,7.14
1da366cade6d8276e7d8beea7af5d4bf,43,0.40,7.14
ad420dd0c4f92f8af951ac24b86d0cf5,42,4.22,7.14
d1ef48b38baca7e831711c4a0aeb398f,29,0.18,7.14
e7d5b006eb624f13074497221eb37807,28,0.24,7.14
f5a590cf36251cf1162ea35bef76fe84,117,0.92,7.08
f45122a9ab94eb4f3f8953578bc0c560,187,0.75,7.07
25c5c91f63607446a97b143d2d535d31,158,0.44,7.05
3b15288545f8928d3e65a8f949a28291,104,0.63,6.93
4371b634e0efc0e22b09b52907d9d469,102,0.44,6.93
bd0389da23d89b726abf911cccc54596,87,1.36,6.90
6d803cb79cc31c41c4c789a75933b3c7,58,0.73,6.90
6e386f64c84e482f0b9abf960797ee1b,30,0.41,6.90
31da954dc0855f2495c6310f70a2f931,29,0.43,6.90
d4e12e7884759a14fa0f5f896c791cae,29,0.28,6.90
e06f09ec0a4aca210779cf1cfc63cf19,29,0.61,6.90
3361277dc30b7cccdb0c286b24219756,29,0.36,6.90
8b2492b7ff4468839593fafeed55bad9,29,4.09,6.90
8931a84a914b3fe9b1ddaa4d704947ca,29,1.38,6.90
02f623a8eb246f3c5f7c2f96462654e6,44,0.77,6.82
b2ba3715d723d245138f291a6fe42594,337,0.60,6.79
dc4a0fc896dc34b0d5bfec8438291c80,231,0.69,6.67
058fd0aa2bfdb2274e05e1ae971dabb6,61,0.79,6.67
382229d1e840115ffe3dbf5ff460e417,46,0.25,6.67
b4a476fbd28de64b1e347abf9089366a,33,0.31,6.67
2bf6a2c1e71bbd29a4ad64e6d3c3629f,30,0.71,6.67
2a6fbeaa7ab9e5d59a35841a8da71ce4,30,0.97,6.67
da8622b14eb17ae2831f4ac5b9dab84a,1314,0.69,6.64
70eea00b476a314817cefde4aad4f89a,108,0.66,6.60
7e3f87d16fb353f408d467e74fbd8014,92,0.85,6.59
827f8f69dfa529c561901c4f2e0f332f,91,0.55,6.59
213b25e6f54661939f11710a6fddb871,155,0.48,6.58
b6d44737c043328708f6749c2dbe50bd,62,0.23,6.56
06579cb253ecd5a3a12a9e6eb6bf8f47,62,0.94,6.56
d1c281d3ae149232351cd8c8cc885f0d,215,0.52,6.54
ccc4bbb5f32a6ab2b7066a4130f114e3,187,1.12,6.52
8444e55c1f13cd5c179851e5ca5ebd00,99,0.78,6.52
9b00ed88b7fdb95d6ff76e27c1b52d16,47,0.32,6.52
fdb9095204a334cd8872252ffec6f2db,46,0.79,6.52
d05ae8f7a5bd1d2a690a44cd079e4e27,78,0.80,6.49
70c27847eca8195c983ed7e798c56743,77,0.45,6.49
951e8cef368f09bb3f3d03c00ca4702c,64,0.36,6.45
276677b5d08786d5dce7c2149dcce48b,33,0.49,6.45
78c99c6dff4eeae5be99bf635ed21e3f,31,1.46,6.45
cd6efc47efaabf134f8bdb654e10b4f1,31,0.34,6.45
0be8ff43f22e456b4e0371b2245e4d01,161,0.49,6.41
004c9cd9d87a3c30c522c48c4fc07416,158,0.65,6.41
994f04b3718c2bab35c2adfa8afecd2a,49,2.35,6.38
a17f621c590ea0fab3d5d883e1630ec6,65,0.33,6.35
8e8a7ce9f2f970dc00e2acf6f6e199f6,65,0.47,6.35
96493fab2fbb13a14d0c0e8772eef5c3,63,0.13,6.35
5b925e1d006e9476d738aa200751b73b,63,0.95,6.35
4c18691b6037662be2df78a765d98ab5,63,0.37,6.35
1bb2bdb95f4841f1bba2c0d2cd83d3c9,81,0.45,6.33
7ea5bfa6c340f58f8e71fc1f0412b0d6,98,1.80,6.25
4a3ccda38b2129705f3fb522db62ca31,66,1.04,6.25
